Site,Plot,Sapflux_ID,Section,Tag,Grid,Date_2022,DBH_2022,Status_2022,,Date_2023,DBH_2023,Status_2023,,Date_2024,DBH_2024,Status_2024,,Date_2025,DBH_2025,Status_2025,In_Plot,Notes,JS_codes,,
CRC,TR,CRC-TR-327,,327,,3/16/2022,,,,,,,,,,,,,,,,Tree 310 was replaced by tree 327 in 9-2-2022,,,
CRC,TR,CRC-TR-03,,311,,3/16/2022,29.3,LI,,,,,,10/29/2024,27.7,LI,,11/21/2025,27.5,LI,,,,,
CRC,TR,CRC-TR-04,,312,,3/16/2022,35.7,LI,,,,,,10/29/2024,36,LI,,11/21/2025,34.5,LI,,,,,
CRC,TR,CRC-TR-05,,313,,3/16/2022,40.5,LI,,,,,,10/29/2024,40.9,LI,,11/21/2025,41.9,LI,,,,,
CRC,TR,CRC-TR-06,,314,,3/16/2022,57.7,LI,,,,,,10/29/2024,57.8,LI,,11/21/2025,59.2,LI,,,,,
CRC,TR,CRC-TR-07,,315,,3/16/2022,37.8,LI,,,,,,10/29/2024,37.7,LI,,11/21/2025,38.6,LI,,,,,
CRC,TR,CRC-TR-08,,316,,3/16/2022,46.7,LI,,,,,,10/29/2024,47.8,LI,,11/21/2025,48.8,LI,,,,,
PTR,UP,PTR-UP-01,,1,,3/14/2022,24.6,LI,,,,,,8/9/2024,26,LI,,11/13/2025,26.2,,,,,,
PTR,UP,PTR-UP-02,,2,,3/14/2022,28.5,LI,,,,,,8/9/2024,30.6,LI,,11/13/2025,26,,,,,,
PTR,UP,PTR-UP-03,,3,,3/14/2022,23.5,LI,,,,,,8/9/2024,26.7,LI,,11/13/2025,27.5,,,,,,
PTR,UP,PTR-UP-04,,4,,3/14/2022,41.5,LI,,,,,,8/9/2024,46.7,LI,,11/13/2025,45.2,,,,,,
PTR,UP,PTR-UP-05,,5,,3/14/2022,32.5,LI,,,,,,8/9/2024,34.4,LI,,11/13/2025,34.9,,,,,,
PTR,UP,PTR-UP-06,,6,,3/14/2022,30.6,LI,,,,,,8/9/2024,32.9,LI,,11/13/2025,33.9,,,,,,
PTR,UP,PTR-UP-07,,7,,3/14/2022,25.4,LI,,,,,,8/9/2024,26,LI,,11/13/2025,26.8,,,,,,
PTR,UP,PTR-UP-08,,550,,3/14/2022,28.6,LI,,,,,,8/9/2024,31,LI,,11/13/2025,32.2,,,,,,
PTR,TR,PTR-TR-01,,556,,3/14/2022,22.8,LI,,,,,,8/9/2024,23.9,LI,,11/13/2025,24.4,,,,,,
PTR,TR,PTR-TR-02,,555,,3/14/2022,28.2,LI,,,,,,8/9/2024,30.7,LI,,11/13/2025,31.3,,,,,,
PTR,TR,PTR-TR-03,,554,,3/14/2022,28.5,LI,,,,,,8/9/2024,32,LI,,11/13/2025,31.5,,Waspnest,,,,
PTR,TR,PTR-TR-04,,553,,3/14/2022,22,LI,,,,,,8/9/2024,22,LI,,11/13/2025,21.6,,,,,,
PTR,TR,PTR-TR-05,,552,,3/14/2022,22.1,LI,,,,,,8/9/2024,24.3,LI,,11/13/2025,23.2,,,,,,
PTR,TR,PTR-TR-06,,12,,3/14/2022,22.1,LI,,,,,,8/9/2024,23.7,LI,,11/13/2025,24.7,,,,,,
PTR,TR,PTR-TR-07,,551,,3/14/2022,23.3,LI,,,,,,8/9/2024,26.5,LI,,11/13/2025,26.4,,,,,,
PTR,TR,PTR-TR-08,,557,,3/14/2022,59.2,LI,,,,,,2/3/2025,57.5,DC or DS???,,11/13/2025,59.6,,,,,,
GWI,TR,GWI-TR-01,,786,,20220406,16,LI,SF 01,20230330,16.2,LI,SF 01,20240307,16.1,LI,SF 01,20250319,16,DS,SF 01,,,,
GWI,TR,GWI-TR-02,,782,,20220406,17.5,LI,SF 02,20230330,17.8,LI,SF 02,20240307,17.8,LI,SF 02,20250319,17.8,DS,SF 02; dead 8/26/24,,,,
GWI,TR,GWI-TR-03,,777,,20220406,17.4,LI,SF 03,20230330,17.7,LI,SF 03,20240307,18,LI,SF 03,20250319,18.1,LI,SF 03,,,,
GWI,TR,GWI-TR-04,,766,,20220406,23.1,LI,SF 04,20230330,23.2,LI,SF 04,20240307,23.3,LI,SF 04; moved HOM below tree chamber,20250319,23.6,LI,SF 04; moved HOM below tree chamber,,,,
GWI,TR,GWI-TR-05,,162,,20220505,18,LI,SF 05; W of tree plot,20230330,18,LI,SF 05; W of tree plot,20240307,18,LI,SF 05; W of tree plot,20250319,18,DS,SF 05; W of tree plot; dead 8/26/24,,,,
GWI,TR,GWI-TR-06,,163,,20220505,19.9,LI,SF 06; W of tree plot,20230330,20.1,LI,SF 06; W of tree plot; dead 11/9/23,20240307,19.9,DS,SF 06; W of tree plot; dead 11/9/23,20250319,19.8,DS,SF 06; W of tree plot; dead 11/9/23,,,,
GWI,TR,GWI-TR-07,,164,,20220505,20.5,LI,SF 07; N of tree plot,20230330,20.4,LI,SF 07; N of tree plot,20240307,20.3,LI,SF 07; N of tree plot,20250319,20.3,DS,SF 07; N of tree plot; dead 8/26/24,,,,
GWI,TR,GWI-TR-08,,789,,20220406,21.9,LI,SF 08,20230330,21.7,LI,SF 08,20240307,21.9,LI,SF 08,20250319,21.8,DS,SF 08; dead 8/26/24,,,,
GWI,UP,GWI-UP-01,,622,,20220406,36.4,LI,SF 01,20230330,36.6,LI,SF 01,20240307,37.1,LI,SF 01,20250319,37.2,LI,SF 01,,,,
GWI,UP,GWI-UP-02,,642,,20220406,31.9,LI,SF 02,20230330,31.7,LI,SF 02,20240307,32.1,LI,SF 02,20250319,32.3,LI,SF 02,,,,
GWI,UP,GWI-UP-03,,633,,20220406,38.8,LI,SF 03,20230330,38.6,LI,SF 03,20240307,39.1,LI,SF 03,20250319,39,LI,SF 03; TORA; use upper blue mark,,,,
GWI,UP,GWI-UP-04,,682,,20220406,38.7,LI,SF 04,20230330,38,LI,SF 04; checked DBH,20240307,38.6,LI,SF 04,20250319,38.5,LI,SF 04,,,,
GWI,UP,GWI-UP-05,,683,,20220406,40.2,LI,SF 05,20230330,40.2,LI,SF 05,20240307,40.3,LI,SF 05,20250319,40.5,LI,SF 05,,,,
GWI,UP,GWI-UP-06,,678,,20220406,37.6,LI,SF 06,20230330,37.8,LI,SF 06,20240307,38.1,LI,SF 06,20250319,38.3,LI,SF 06,,,,
GWI,UP,GWI-UP-07,,650,,20220406,40.6,LI,SF 07,20230330,40.9,LI,SF 07,20240307,41.5,LI,SF 07,20250319,41.9,LI,SF 07,,,,
GWI,UP,GWI-UP-08,,647,,20220406,39.8,LI,SF 08,20230330,39.8,LI,SF 08,20240307,40.3,LI,SF 08,20250319,40.2,LI,SF 08,,,,
MSM,TR,MSM-TR-01,,410,,20220411,34,LI,SF; outside of tree plot,20230323,33.6,LI,SF 01; outside of tree plot; flux,20240312,32.6,LI,SF 01; outside of tree plot; flux,20250313,32.5,DS,SF 01; outside of tree plot; flux,,,,
MSM,TR,MSM-TR-02,,411,,20220411,25.6,LI,SF,20230323,25.3,LI,SF 02,20240312,25,LI,SF 02,20250313,24.9,LI,SF 02,,,,
MSM,TR,MSM-TR-03,,416,,20220411,28.1,LI,SF,20230323,28,LI,SF 03,20240312,27.6,LI,SF 03,20250313,27.7,LI,SF 03,,,,
MSM,TR,MSM-TR-04,,413,,20220411,31.6,LI,SF,20230323,31.2,LI,SF 04,20240312,31.2,LI,SF 04,20250313,31.1,LI,SF 04,,,,
MSM,TR,MSM-TR-05,,414,,20220411,28,LI,SF,20230323,27.9,LI,SF 05,20240312,27.7,LI,SF 05,20250313,27.6,DS,SF 05,,,,
MSM,TR,MSM-TR-06,,412,,20220411,25.2,LI,SF,20230323,25,LI,SF 06,20240312,24.9,LI,SF 06; measured above blue mark,20250313,24.9,LI,SF 06; measured above blue mark,,,,
MSM,TR,MSM-TR-07,,415,,20220411,29.3,LI,SF,20230323,29,LI,SF 07,20240312,29.1,LI,SF 07,20250313,28.9,LI,SF 07,,,,
MSM,TR,MSM-TR-08,,409,,20220411,26.9,LI,SF; outside of tree plot,20230323,26.8,LI,SF 08; outside of tree plot; flux,20240312,26.3,LI,SF 08; outside of tree plot; flux,20250313,26.3,DS,SF 08; outside of tree plot; flux,,,,
MSM,UP,MSM-UP-01,,401,,20220501,37.8,LI,SF,20230323,37.6,LI,SF 01,20240312,37.9,LI,SF 01,20250313,37.9,LI,SF 01,,,,
MSM,UP,MSM-UP-02,,402,,20220411,45,LI,SF,20230323,45.1,LI,SF 02,20240312,44.4,LI,SF 02,20250313,45,LI,SF 02,,,,
MSM,UP,MSM-UP-03,,403,,20220411,35,LI,SF,20230323,35.3,LI,SF 03; alt HOM low,20240312,35.4,LI,SF 03; alt HOM low,20250313,35.4,LI,SF 03; alt HOM low,,,,
MSM,UP,MSM-UP-04,,404,,20220411,36.4,LI,SF; DBH unclear; checked 5/1,20230323,35.9,LI,SF 04,20240312,35.9,LI,SF 04,20250313,35.7,LI,SF 04; checked,,,,
MSM,UP,MSM-UP-05,,405,,20220411,42.2,LI,SF,20230323,41.2,LI,SF 05,20240312,41.5,LI,SF 05,20250313,41.2,LI,SF 05; checked,,,,
MSM,UP,MSM-UP-06,,406,,20220411,49.3,LI,SF,20230323,49.3,LI,SF 06,20240312,50.2,LI,SF 06; IR; injured,20250313,50.2,LI,SF 06; IR; injured; scaring,,,,
MSM,UP,MSM-UP-07,,407,,20220411,36.5,LI,SF,20230323,36,LI,SF 07,20240312,36.4,LI,SF 07,20250313,35.9,LI,SF 07; checked,,,,
MSM,UP,MSM-UP-08,,408,,20220411,44,LI,"SF; DBH unclear, could be 4.4; checked 5/1",20230323,43.2,LI,SF 08,20240312,43.3,LI,SF 08,20250313,43.1,LI,SF 08; checked,,,,
GCW,TR,GCW-TR-C7,,1439,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-C9,,1456,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-C10,,1387,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-C11,,1395,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-C12,,1328,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-C19,,1451,,,,,,,,,,,,,,,,,,,,,
GCW,TR,GCW-TR-01,,968,,,,,,20230309,28.3,LI,SF TR 1; outside plot,20240224,28.9,LI,SF TR 1; outside plot,20250312,29,LI,SF TR 1; outside plot,,,,
GCW,TR,GCW-TR-02,,719,,,,,,20230309,23.4,LI,SF TR 2,20240224,23.8,LI,SF TR 2,20250312,23.8,LI,SF TR 2,,,,
GCW,TR,GCW-TR-03,,718,,,,,,20230309,35.8,LI,SF TR 3,20240224,35.8,LI,SF TR 3,20250312,35.7,LI,SF TR 3,,,,
GCW,TR,GCW-TR-04,,934,,,,,,20230309,14,LI,SF TR 4; topped; SMILAX; added 3/9/23,20240224,14.1,LI,SF TR 4; X; SMILAX,20250312,14.2,LI,SF TR 4; X; SMILAX,,,,
GCW,TR,GCW-TR-05,,902,,,,,,20230309,21.4,LI,SF TR 5; by 704; added 3/9/23,20240224,21.3,LI,SF TR 5; by 704,20250312,21.3,LI,SF TR 5; by 704,,,,
GCW,TR,GCW-TR-06,,913,,,,,,20230309,16.8,LI,SF TR 6; outiside plot; added 3/9/23,20240224,17.8,LI,SF TR 6; outiside plot,20250312,18,LI,SF TR 6; outiside plot,,,,
GCW,TR,GCW-TR-07,,916,,,,,,,,,,,,,,20250409,18.7,LI,SF7; outside plot by lower parking lot,,,,
GCW,TR,GCW-TR-08,,917,,,,,,,,,,,,,,20250409,32,LI,SF8; outside plot by lower parking lot,,,,
SWH,SWMP,SWH-SWH-01,,538,,,,,,20230329,29.2,LI,SF01 +deep,20240305,29.4,LI,SF01 +deep,20250318,29.2,LI,SF01 +deep; HOM 1.2 m; checked,,,,
SWH,SWMP,SWH-SWH-02,,526,,,,,,20230329,33,LI,"SF02 +deep; irregular, use lower mark",20240305,33.1,LI,"SF02 +deep; irregular, use lower mark",20250318,33.1,LI,"SF02 +deep; irregular, use lower mark; deep sensor installed upside down",,,,
SWH,SWMP,SWH-SWH-03,,548,,,,,,20230329,21.2,LI,SF03 +deep; alt HOM 1.1M; North of plot,20240305,21.5,LI,SF03 +deep; alt HOM 1.1M; North of plot,20250318,21.5,LI,SF03 +deep; alt HOM 1.1M; North of plot,,,,
SWH,SWMP,SWH-SWH-04,,547,,,,,,20230329,28.3,LI,SF04; North of plot,20240305,28.5,LI,SF04; North of plot,20250318,28.8,LI,SF04; North of plot,,,,
SWH,SWMP,SWH-SWH-05,,546,,,,,,20230329,43.8,LI,SF05; alt HOM (low); North of plot,20240305,44.3,LI,SF05; alt HOM (low); North of plot,20250318,44.9,LI,SF05; HOM 1.15 m; North of plot,,,,
SWH,SWMP,SWH-SWH-06,,544,,,,,,20230329,38.8,LI,SF06; alt HOM (low); North of plot,20240305,39.2,LI,SF06; alt HOM (low); North of plot,20250318,39.5,LI,SF06; alt HOM (low); North of plot,,,,
SWH,SWMP,SWH-SWH-07,,545,,,,,,20230329,31,LI,SF07; North of plot,20240305,31.5,LI,SF07; North of plot,20250318,31.8,LI,SF07; North of plot,,,,
SWH,SWMP,SWH-SWH-08,,542,,,,,,20230329,36.8,LI,SF08 +deep; North of plot; HOM below sensor,20240305,37.3,LI,SF08 +deep; North of plot; HOM below sensor,20250318,37.7,LI,SF08 +deep; North of plot; HOM below sensor,,,,
SWH,TR,SWH-TR-01,,625,,,,,,20230329,13.1,LI,SF01 +deep; HOM between sensors,20240305,13.2,LI,SF01 +deep; HOM between sensors,20250318,13.3,LI,SF01 +deep; HOM between sensors,,,,
SWH,TR,SWH-TR-02,,645,,,,,,20230329,24.7,LI,SF02 +deep,20240305,24.9,LI,SF02 +deep,20250318,25,LI,SF02 +deep,,,,
SWH,TR,SWH-TR-03,,613,,,,,,20230329,16.4,LI,SF03,20240305,16.4,LI,SF03; ck status,20250318,16.3,LI,SF03,,,,
SWH,TR,SWH-TR-04,,602,,,,,,20230329,15.6,LI,SF04 +deep,20240305,15.6,LI,SF04 +deep,20250318,15.8,LI,SF04 +deep,,,,
SWH,TR,SWH-TR-05,,654,,,,,,20230920,15.1,LI,15.7 w/vine,20240305,15.2,LI,under vine; 15.8 w/vine,20250318,15.2,LI,under vine; 15.6 w/vine,,,,
SWH,TR,SWH-TR-06,,655,,,,,,20230920,11.5,LI,HOM below SF cover; use lower red mark,20240305,11.4,LI,HOM below SF cover; use lower red mark,20250318,11.4,LI,HOM below SF cover; use lower red mark,,,,
SWH,TR,SWH-TR-07,,652,,,,,,20230920,27.8,LI,,20240305,27.4,LI,SF 7,20250318,27.3,LI,SF 7,,,,
SWH,TR,SWH-TR-08,,653,,,,,,20230920,35.1,LI,,20240305,34.5,LI,SF8,20250318,34.7,LI,SF8,,,,
